run, type, time, cluster, distance.mean, distance.sd, count
0, skm, 5.250000, 151, 3.504692, 1.245866, 3
0, skm, 5.250000, 152, 0.000000, 0.000000, 1
0, skm, 5.250000, 153, 2.948567, 0.810122, 5
0, skm, 5.250000, 154, 2.920291, 0.000000, 2
0, skm, 5.250000, 155, 0.000000, 0.000000, 1
0, skm, 5.250000, 156, 0.000000, 0.000000, 1
0, skm, 5.250000, 157, 0.000000, 0.000000, 1
0, skm, 5.250000, 158, 0.000000, 0.000000, 1
0, skm, 5.250000, 159, 4.174240, 0.000000, 2
0, skm, 5.250000, 160, 0.000000, 0.000000, 1
0, skm, 5.250000, 161, 4.149932, 0.834922, 3
0, skm, 5.250000, 162, 4.682704, 1.266931, 5
0, skm, 5.250000, 163, 3.493586, 0.000000, 2
0, skm, 5.250000, 164, 3.490218, 0.000000, 2
0, skm, 5.250000, 165, 0.000000, 0.000000, 1
0, skm, 5.250000, 166, 4.840828, 1.570508, 5
0, skm, 5.250000, 167, 0.000000, 0.000000, 1
0, skm, 5.250000, 168, 4.650315, 0.797828, 4
0, skm, 5.250000, 169, 3.474315, 0.198253, 3
0, skm, 5.250000, 170, 0.000000, 0.000000, 1
0, skm, 5.250000, 171, 4.097905, 0.040580, 3
0, skm, 5.250000, 172, 0.000000, 0.000000, 1
0, skm, 5.250000, 173, 0.000000, 0.000000, 1
0, skm, 5.250000, 174, 0.000000, 0.000000, 1
0, skm, 5.250000, 175, 0.000000, 0.000000, 1
0, skm, 5.250000, 176, 3.100786, 0.000000, 2
0, skm, 5.250000, 177, 0.000000, 0.000000, 1
0, skm, 5.250000, 178, 0.000000, 0.000000, 1
0, skm, 5.250000, 179, 0.000000, 0.000000, 1
0, skm, 5.250000, 180, 0.000000, 0.000000, 1
0, skm, 5.250000, 181, 0.000000, 0.000000, 1
0, skm, 5.250000, 182, 4.603371, 0.000000, 2
0, skm, 5.250000, 183, 5.141840, 0.000000, 2
0, skm, 5.250000, 184, 1.320634, 0.000000, 2
0, skm, 5.250000, 185, 4.819254, 1.709655, 3
0, skm, 5.250000, 186, 0.108682, 0.000000, 2
0, skm, 5.250000, 187, 2.233028, 0.000000, 2
0, skm, 5.250000, 188, 0.000000, 0.000000, 1
0, skm, 5.250000, 189, 0.000000, 0.000000, 1
0, skm, 5.250000, 190, 0.869876, 0.074112, 149
0, skm, 5.250000, 191, 0.646806, 0.090451, 972
1, km, 123.046000, 0, 0.797406, 0.146486, 1384
1, km, 123.046000, 1, 0.746337, 0.210193, 2038
1, km, 123.046000, 2, 0.814783, 0.450501, 1650
1, km, 123.046000, 3, 104.234625, 79.623588, 18
1, km, 123.046000, 4, 0.734749, 0.259007, 2064
1, km, 123.046000, 5, 0.891704, 0.130887, 865
1, km, 123.046000, 6, 0.856046, 0.132314, 935
1, km, 123.046000, 7, 7.335311, 4.909966, 432
1, km, 123.046000, 8, 1.220156, 0.300506, 721
1, km, 123.046000, 9, 52.583373, 37.367106, 43
1, km, 123.046000, 10, 3.826978, 2.281670, 687
1, km, 123.046000, 11, 14.906276, 10.919195, 221
1, km, 123.046000, 12, 33.994970, 25.310744, 106
1, km, 123.046000, 13, 0.777458, 0.159008, 1610
1, km, 123.046000, 14, 1.540339, 0.556955, 741
1, km, 123.046000, 15, 2.233750, 1.033459, 752
1, km, 123.046000, 16, 1.050975, 0.208546, 744
1, km, 123.046000, 17, 0.832575, 0.140086, 1171
1, km, 123.046000, 18, 0.949311, 0.159639, 769
1, km, 123.046000, 19, 0.768112, 0.183293, 1877
1, bkm, 39.450000, 0, 51.594475, 27.907644, 14
1, bkm, 39.450000, 1, 1.004532, 0.405478, 3259
1, bkm, 39.450000, 2, 30.713432, 22.205071, 21
1, bkm, 39.450000, 3, 13.356927, 6.851539, 70
1, bkm, 39.450000, 4, 63.295860, 15.480055, 7
1, bkm, 39.450000, 5, 6.676032, 3.851420, 224
1, bkm, 39.450000, 6, 3.445911, 1.697128, 684
1, bkm, 39.450000, 7, 1.550392, 0.618599, 2366
1, bkm, 39.450000, 8, 1.037955, 0.579357, 2623
1, bkm, 39.450000, 9, 9.282545, 5.606249, 128
1, bkm, 39.450000, 10, 0.000000, 0.000000, 1
1, bkm, 39.450000, 11, 2.004593, 0.856825, 1692
1, bkm, 39.450000, 12, 18.198107, 11.829833, 15
1, bkm, 39.450000, 13, 15.096823, 9.312158, 41
1, bkm, 39.450000, 14, 1.121074, 0.419176, 3286
1, bkm, 39.450000, 15, 4.841494, 2.286897, 351
1, bkm, 39.450000, 16, 1.279539, 0.479160, 2984
1, bkm, 39.450000, 17, 18.691166, 11.941154, 8
1, bkm, 39.450000, 18, 13.350880, 7.334539, 13
1, bkm, 39.450000, 19, 2.575574, 1.198255, 1041
1, skm, 5.217000, 0, 0.484118, 0.284338, 295
1, skm, 5.217000, 1, 0.436818, 0.118644, 443
1, skm, 5.217000, 2, 0.432718, 0.108095, 609
1, skm, 5.217000, 3, 0.000000, 0.000000, 1
1, skm, 5.217000, 4, 0.412882, 0.060065, 456
1, skm, 5.217000, 5, 0.532207, 0.047568, 259
1, skm, 5.217000, 6, 0.459314, 0.055585, 680
1, skm, 5.217000, 7, 0.475239, 0.038744, 399
1, skm, 5.217000, 8, 0.265935, 0.265935, 2
1, skm, 5.217000, 9, 0.492846, 0.063398, 641
1, skm, 5.217000, 10, 0.000000, 0.000000, 1
1, skm, 5.217000, 11, 0.534657, 0.073076, 923
1, skm, 5.217000, 12, 0.000000, 0.000000, 1
1, skm, 5.217000, 13, 0.561123, 0.064566, 853
1, skm, 5.217000, 14, 0.352695, 0.352695, 2
1, skm, 5.217000, 15, 0.585664, 0.062720, 809
1, skm, 5.217000, 16, 0.598523, 0.063021, 820
1, skm, 5.217000, 17, 0.000000, 0.000000, 1
1, skm, 5.217000, 18, 0.000000, 0.000000, 1
1, skm, 5.217000, 19, 0.471316, 0.333297, 3
1, skm, 5.217000, 20, 0.637838, 0.059027, 743
1, skm, 5.217000, 21, 0.517398, 0.367784, 3
1, skm, 5.217000, 22, 0.000000, 0.000000, 1
1, skm, 5.217000, 23, 0.662126, 0.068163, 756
1, skm, 5.217000, 24, 0.000000, 0.000000, 1
1, skm, 5.217000, 25, 0.688445, 0.072586, 813
1, skm, 5.217000, 26, 0.643444, 0.288014, 6
1, skm, 5.217000, 27, 0.733069, 0.072789, 718
1, skm, 5.217000, 28, 0.399353, 0.399353, 2
1, skm, 5.217000, 29, 0.767440, 0.098928, 808
1, skm, 5.217000, 30, 0.000000, 0.000000, 1
1, skm, 5.217000, 31, 0.491871, 0.491871, 2
1, skm, 5.217000, 32, 0.900404, 0.237180, 16
1, skm, 5.217000, 33, 0.900318, 0.149023, 42
1, skm, 5.217000, 34, 0.795828, 0.089655, 707
1, skm, 5.217000, 35, 0.464385, 0.464385, 2
1, skm, 5.217000, 36, 0.852452, 0.213716, 18
1, skm, 5.217000, 37, 0.839704, 0.075492, 595
1, skm, 5.217000, 38, 0.000000, 0.000000, 1
1, skm, 5.217000, 39, 0.000000, 0.000000, 1
1, skm, 5.217000, 40, 0.817652, 0.071451, 403
1, skm, 5.217000, 41, 0.000000, 0.000000, 1
1, skm, 5.217000, 42, 0.885703, 0.083577, 345
1, skm, 5.217000, 43, 0.511293, 0.511293, 2
1, skm, 5.217000, 44, 0.000000, 0.000000, 1
1, skm, 5.217000, 45, 0.903213, 0.083447, 403
1, skm, 5.217000, 46, 0.000000, 0.000000, 1
1, skm, 5.217000, 47, 0.999965, 0.097863, 333
1, skm, 5.217000, 48, 1.097915, 0.190422, 40
1, skm, 5.217000, 49, 1.004388, 0.141001, 450
1, skm, 5.217000, 50, 1.174898, 0.376479, 11
1, skm, 5.217000, 51, 1.044341, 0.131385, 374
1, skm, 5.217000, 52, 0.716296, 0.506977, 3
1, skm, 5.217000, 53, 1.036332, 0.105055, 256
1, skm, 5.217000, 54, 0.000000, 0.000000, 1
1, skm, 5.217000, 55, 0.877000, 0.513448, 4
1, skm, 5.217000, 56, 1.040084, 0.112036, 226
1, skm, 5.217000, 57, 1.155395, 0.110428, 160
1, skm, 5.217000, 58, 1.087239, 0.114250, 168
1, skm, 5.217000, 59, 1.148757, 0.102544, 154
1, skm, 5.217000, 60, 1.126005, 0.116711, 141
1, skm, 5.217000, 61, 0.000000, 0.000000, 1
1, skm, 5.217000, 62, 1.189173, 0.113135, 97
1, skm, 5.217000, 63, 1.274637, 0.172338, 175
1, skm, 5.217000, 64, 0.000000, 0.000000, 1
1, skm, 5.217000, 65, 1.330973, 0.181579, 167
1, skm, 5.217000, 66, 1.388808, 0.531954, 8
1, skm, 5.217000, 67, 1.488477, 0.485608, 11
1, skm, 5.217000, 68, 1.576936, 0.206336, 81
1, skm, 5.217000, 69, 1.396854, 0.169488, 109
1, skm, 5.217000, 70, 0.000000, 0.000000, 1
1, skm, 5.217000, 71, 1.339164, 0.164490, 91
1, skm, 5.217000, 72, 1.418744, 0.160485, 84
1, skm, 5.217000, 73, 0.000000, 0.000000, 1
1, skm, 5.217000, 74, 1.549627, 0.353641, 22
1, skm, 5.217000, 75, 1.433042, 0.163256, 59
1, skm, 5.217000, 76, 1.449501, 0.158886, 68
1, skm, 5.217000, 77, 1.488941, 0.180024, 44
1, skm, 5.217000, 78, 1.889464, 0.407141, 53
1, skm, 5.217000, 79, 1.784734, 0.388806, 72
1, skm, 5.217000, 80, 1.911952, 0.425281, 24
1, skm, 5.217000, 81, 0.000000, 0.000000, 1
1, skm, 5.217000, 82, 1.831934, 0.274806, 61
1, skm, 5.217000, 83, 1.760515, 0.265398, 23
1, skm, 5.217000, 84, 1.822915, 0.287039, 62
1, skm, 5.217000, 85, 1.906253, 0.408681, 47
1, skm, 5.217000, 86, 0.000000, 0.000000, 1
1, skm, 5.217000, 87, 1.813715, 0.331297, 20
1, skm, 5.217000, 88, 1.749789, 0.194848, 18
1, skm, 5.217000, 89, 2.173514, 0.661735, 13
1, skm, 5.217000, 90, 1.896550, 0.332651, 19
1, skm, 5.217000, 91, 2.039514, 0.345088, 18
1, skm, 5.217000, 92, 2.404411, 0.444196, 30
1, skm, 5.217000, 93, 2.691882, 0.619174, 24
1, skm, 5.217000, 94, 2.569197, 0.883366, 10
1, skm, 5.217000, 95, 0.000000, 0.000000, 1
1, skm, 5.217000, 96, 2.386682, 0.423408, 14
1, skm, 5.217000, 97, 2.728342, 0.919054, 22
1, skm, 5.217000, 98, 3.172663, 0.680300, 25
1, skm, 5.217000, 99, 2.953981, 0.863621, 17
1, skm, 5.217000, 100, 2.782039, 0.696408, 12
1, skm, 5.217000, 101, 2.910865, 1.478505, 5
1, skm, 5.217000, 102, 2.427326, 0.379702, 7
1, skm, 5.217000, 103, 2.396266, 0.422296, 6
1, skm, 5.217000, 104, 2.975656, 0.317787, 8
1, skm, 5.217000, 105, 2.465380, 0.582962, 5
1, skm, 5.217000, 106, 2.886801, 1.691550, 4
1, skm, 5.217000, 107, 2.985863, 0.881903, 12
1, skm, 5.217000, 108, 3.307456, 0.882071, 14
1, skm, 5.217000, 109, 3.324238, 0.899497, 10
1, skm, 5.217000, 110, 0.000000, 0.000000, 1
1, skm, 5.217000, 111, 2.794518, 1.990345, 3
1, skm, 5.217000, 112, 3.723615, 0.933000, 5
1, skm, 5.217000, 113, 4.467719, 1.439008, 9
1, skm, 5.217000, 114, 3.453078, 0.997133, 4
1, skm, 5.217000, 115, 2.016729, 2.016729, 2
1, skm, 5.217000, 116, 0.000000, 0.000000, 1
1, skm, 5.217000, 117, 2.957221, 0.458974, 4
1, skm, 5.217000, 118, 5.133852, 1.709981, 9
1, skm, 5.217000, 119, 0.000000, 0.000000, 1
1, skm, 5.217000, 120, 2.948567, 0.810122, 5
1, skm, 5.217000, 121, 2.920291, 0.000000, 2
1, skm, 5.217000, 122, 0.000000, 0.000000, 1
1, skm, 5.217000, 123, 2.474466, 0.000000, 2
1, skm, 5.217000, 124, 2.571203, 0.000000, 2
1, skm, 5.217000, 125, 0.000000, 0.000000, 1
1, skm, 5.217000, 126, 4.081239, 0.769573, 4
1, skm, 5.217000, 127, 4.682704, 1.266931, 5
1, skm, 5.217000, 128, 3.493586, 0.000000, 2
1, skm, 5.217000, 129, 0.000000, 0.000000, 1
1, skm, 5.217000, 130, 0.000000, 0.000000, 1
1, skm, 5.217000, 131, 0.000000, 0.000000, 1
1, skm, 5.217000, 132, 0.000000, 0.000000, 1
1, skm, 5.217000, 133, 3.660321, 0.463382, 4
1, skm, 5.217000, 134, 0.000000, 0.000000, 1
1, skm, 5.217000, 135, 2.970727, 0.000000, 2
1, skm, 5.217000, 136, 3.474779, 0.000000, 2
1, skm, 5.217000, 137, 3.474315, 0.198253, 3
1, skm, 5.217000, 138, 0.000000, 0.000000, 1
1, skm, 5.217000, 139, 4.097905, 0.040580, 3
1, skm, 5.217000, 140, 0.000000, 0.000000, 1
1, skm, 5.217000, 141, 0.000000, 0.000000, 1
1, skm, 5.217000, 142, 0.000000, 0.000000, 1
1, skm, 5.217000, 143, 0.000000, 0.000000, 1
1, skm, 5.217000, 144, 3.100786, 0.000000, 2
1, skm, 5.217000, 145, 0.000000, 0.000000, 1
1, skm, 5.217000, 146, 0.000000, 0.000000, 1
1, skm, 5.217000, 147, 0.000000, 0.000000, 1
1, skm, 5.217000, 148, 0.000000, 0.000000, 1
1, skm, 5.217000, 149, 0.000000, 0.000000, 1
1, skm, 5.217000, 150, 0.000000, 0.000000, 1
1, skm, 5.217000, 151, 0.000000, 0.000000, 1
1, skm, 5.217000, 152, 0.000000, 0.000000, 1
1, skm, 5.217000, 153, 0.000000, 0.000000, 1
1, skm, 5.217000, 154, 1.320634, 0.000000, 2
