run,type,time,cluster,distance.mean,distance.sd,distance.q0,distance.q1,distance.q2,distance.q3,distance.q4,count
0,skm,5.885000,82,0.932823,0.648576,0.289144,0.289144,0.876574,1.520253,1.689002,4
0,skm,5.885000,83,0.817119,0.817119,0.000000,0.408559,0.817119,1.225678,1.634237,2
0,skm,5.885000,84,1.351497,0.139194,0.993827,1.257307,1.353776,1.435942,1.723814,85
0,skm,5.885000,85,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,86,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,87,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,88,1.341855,0.147586,1.061110,1.243523,1.322602,1.432965,1.875038,98
0,skm,5.885000,89,0.761846,0.761846,0.000000,0.380923,0.761846,1.142770,1.523693,2
0,skm,5.885000,90,1.230152,0.615905,0.000000,1.491836,1.520288,1.550707,1.587930,5
0,skm,5.885000,91,1.409926,0.191747,1.039766,1.261716,1.399850,1.544259,1.891576,93
0,skm,5.885000,92,1.414521,0.713805,0.000000,1.597230,1.778480,1.802151,1.894745,5
0,skm,5.885000,93,1.531084,0.191011,1.146721,1.403696,1.528266,1.660011,1.937693,72
0,skm,5.885000,94,1.477358,0.187302,1.130890,1.341309,1.468700,1.595754,1.925287,78
0,skm,5.885000,95,1.884328,0.500436,1.172491,1.538477,1.738835,2.026002,3.069636,72
0,skm,5.885000,96,1.908418,0.523640,1.114372,1.494520,1.766043,2.292786,3.068630,76
0,skm,5.885000,97,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,98,1.800915,0.251173,1.003241,1.658723,1.817721,1.916252,2.297357,49
0,skm,5.885000,99,1.732579,0.295411,1.308344,1.482129,1.742166,1.932443,2.638226,50
0,skm,5.885000,100,1.778458,0.296676,1.348624,1.538231,1.709497,1.920443,2.508622,45
0,skm,5.885000,101,1.905436,0.309171,0.979500,1.838241,1.911043,2.090141,2.370012,31
0,skm,5.885000,102,1.937387,0.330584,1.435785,1.697580,1.904729,2.176965,2.796350,44
0,skm,5.885000,103,2.299869,0.906741,0.000000,2.398981,2.628340,2.730183,3.002360,8
0,skm,5.885000,104,2.263348,0.401413,1.467581,1.937480,2.258407,2.558541,3.038739,36
0,skm,5.885000,105,2.318628,0.612725,1.381286,1.746822,2.185469,2.862676,3.487161,37
0,skm,5.885000,106,2.257933,0.617612,1.337965,1.720002,2.034812,2.663321,3.500019,21
0,skm,5.885000,107,2.128866,0.329741,1.698076,1.864041,2.010553,2.300287,2.812138,18
0,skm,5.885000,108,2.244549,0.400579,1.440755,1.912428,2.258774,2.463908,3.076009,22
0,skm,5.885000,109,2.423863,0.500826,1.478713,2.213494,2.467744,2.788429,3.239103,13
0,skm,5.885000,110,2.194182,0.997395,0.000000,2.351072,2.658949,2.748708,2.820118,6
0,skm,5.885000,111,3.139825,0.844658,1.915131,2.525790,2.754637,3.957887,4.418994,25
0,skm,5.885000,112,3.160709,0.999608,0.000000,2.762156,3.096006,3.806994,4.626622,18
0,skm,5.885000,113,2.557344,0.415559,1.949519,2.299193,2.551673,2.782963,3.332653,11
0,skm,5.885000,114,2.631425,0.586855,1.728254,2.249664,2.562715,3.248759,3.359574,10
0,skm,5.885000,115,3.266762,1.251523,2.025760,2.398322,2.715061,3.549504,5.606863,14
